編號,日期,每100g價格
1030,2023/07/31,13.50
1030,2023/08/01,13.50
1030,2023/08/02,13.50
1030,2023/08/03,13.50
1030,2023/08/04,13.50
1030,2023/08/05,13.50
1030,2023/08/06,13.50
1030,2023/08/07,13.50
1030,2023/08/08,13.50
0103,2023/08/09,13.50
0103,2023/08/10,12.75
0103,2023/08/11,12.75
0103,2023/08/12,12.75
0103,2023/08/13,12.75
0103,2023/08/14,12.75
0103,2023/08/15,12.75
0103,2023/08/16,12.75
0103,2023/08/17,12.75
0103,2023/08/18,12.75
0103,2023/08/19,12.75
0103,2023/08/20,12.75
0103,2023/08/21,12.75
0103,2023/08/22,12.75
0103,2023/08/23,12.75
0103,2023/08/24,12.75
0103,2023/08/25,12.75
0103,2023/08/26,12.75
0103,2023/08/27,12.75
0103,2023/08/28,12.75
0103,2023/08/29,12.75
0103,2023/08/30,14.37
0103,2023/08/31,14.37
0103,2023/09/01,14.37
